Symbol,InstrumentToken,Name,BSE_TOKEN,NSE_TOKEN,Segment,InstrumentType
NIFTY MID LIQ 15,270601,NIFTY MID LIQ 15,,1057,INDICES,EQ
NIFTY NEXT 50,270857,NIFTY NEXT 50,,1058,INDICES,EQ
NIFTY PVT BANK,271113,NIFTY PVT BANK,,1059,INDICES,EQ
NIFTY50 EQL WGT,271625,NIFTY50 EQL WGT,,1061,INDICES,EQ
NIFTY100 EQL WGT,271881,NIFTY100 EQL WGT,,1062,INDICES,EQ
NIFTY100 LOWVOL30,272137,NIFTY100 LOWVOL30,,1063,INDICES,EQ
NIFTY100 QUALTY30,272393,NIFTY100 QUALTY30,,1064,INDICES,EQ
NIFTY ALPHALOWVOL,273673,NIFTY ALPHALOWVOL,,1069,INDICES,EQ
NIFTY MID SELECT,288009,NIFTY MIDCAP SELECT (MIDCPNIFTY),,1125,INDICES,EQ
NIFTY FINSRV25 50,288265,NIFTY FINSRV25 50,,1126,INDICES,EQ
NIFTY HEALTHCARE,288521,NIFTY HEALTHCARE,,1127,INDICES,EQ
NIFTY CONSR DURBL,288777,NIFTY CONSR DURBL,,1128,INDICES,EQ
NIFTY OIL AND GAS,289033,NIFTY OIL AND GAS,,1129,INDICES,EQ
NIFTY500 MULTICAP,289289,NIFTY500 MULTICAP,,1130,INDICES,EQ
NIFTY LARGEMID250,289545,NIFTY LARGEMID250,,1131,INDICES,EQ
NIFTY100ESGSECLDR,289801,NIFTY100ESGSECLDR,,1132,INDICES,EQ
NIFTY200MOMENTM30,290057,NIFTY200MOMENTM30,,1133,INDICES,EQ
NIFTY TOTAL MKT,290313,NIFTY TOTAL MKT,,1134,INDICES,EQ
NIFTY MICROCAP250,290569,NIFTY MICROCAP250,,1135,INDICES,EQ
NIFTY M150 QLTY50,290825,NIFTY M150 QLTY50,,1136,INDICES,EQ
NIFTY INDIA MFG,291081,NIFTY INDIA MFG,,1137,INDICES,EQ
NIFTY IND DIGITAL,291337,NIFTY IND DIGITAL,,1138,INDICES,EQ
NIFTY100 ESG,291593,NIFTY100 ESG,,1139,INDICES,EQ
NIFTY200 ALPHA 30,294409,NIFTY200 ALPHA 30,,1150,INDICES,EQ
NIFTYM150MOMNTM50,294665,NIFTYM150MOMNTM50,,1151,INDICES,EQ
NIFTY TATA 25 CAP,294921,NIFTY TATA 25 CAP,,1152,INDICES,EQ
NIFTY MULTI MFG,295177,NIFTY MULTI MFG,,1153,INDICES,EQ
NIFTY MULTI INFRA,295433,NIFTY MULTI INFRA,,1154,INDICES,EQ
NIFTY MIDSML HLTH,295689,NIFTY MIDSML HLTH,,1155,INDICES,EQ
NIFTY AQL 30,404745,NIFTY ALPHA QUALITY LOW-VOLATILITY 30,,1581,INDICES,EQ
NIFTY AQLV 30,405001,NIFTY ALPHA QUALITY VALUE LOW VOLATILITY 30,,1582,INDICES,EQ
NIFTY CORP MAATR,405257,NIFTY INDIA SELECT 5 CORPORATE GROUPS,,1583,INDICES,EQ
NIFTY EV,405513,NIFTY EV & NEW AGE AUTOMOTIVE,,1584,INDICES,EQ
NIFTY HIGHBETA 50,405769,NIFTY HIGHBETA 50,,1585,INDICES,EQ
NIFTY LOW VOL 50,406025,NIFTY LOW VOLATILITY 50,,1586,INDICES,EQ
NIFTY MOBILITY,406281,NIFTY MOBILITY,,1587,INDICES,EQ
NIFTY MULTI MQ 50,406537,NIFTY500 MULTICAP MOMENTUM QUALITY 50,,1588,INDICES,EQ
NIFTY NEW CONSUMP,406793,NIFTY INDIA NEW AGE CONSUMPTION,,1589,INDICES,EQ
NIFTY QLTY LV 30,407049,NIFTY QUALITY LOW VOLATILITY 30,,1590,INDICES,EQ
NIFTY SML250 Q50,407305,NIFTY SMALLCAP250 QUALITY 50,,1591,INDICES,EQ
NIFTY TOP 10 EW,407561,NIFTY TOP 10 EQUAL WEIGHT,,1592,INDICES,EQ
NIFTY TOP 15 EW,407817,NIFTY TOP 15 EQUAL WEIGHT,,1593,INDICES,EQ
NIFTY TOP 20 EW,408073,NIFTY TOP 20 EQUAL WEIGHT,,1594,INDICES,EQ
NIFTY100 ALPHA 30,408329,NIFTY100 ALPHA 30,,1595,INDICES,EQ
NIFTY100 ENH ESG,408585,NIFTY100 ENHANCED ESG,,1596,INDICES,EQ
NIFTY200 VALUE 30,408841,NIFTY200 VALUE 30,,1597,INDICES,EQ
NIFTY500 EW,409097,NIFTY500 EQUAL WEIGHT,,1598,INDICES,EQ
NIFTY500 VALUE 50,409353,NIFTY500 VALUE 50,,1599,INDICES,EQ
NIFTY500MOMENTM50,409609,NIFTY500 MOMENTUM 50,,1600,INDICES,EQ
NIFTYMS400 MQ 100,409865,NIFTY MIDSMALLCAP400 MOMENTUM QUALITY 100,,1601,INDICES,EQ
NIFTYSML250MQ 100,410121,NIFTY SMALLCAP250 MOMENTUM QUALITY 100,,1602,INDICES,EQ
NIFTY COREHOUSING,410377,NIFTY CORE HOUSING,,1603,INDICES,EQ
NIFTY FINSEREXBNK,410633,NIFTY FINANCIAL SERVICES,,1604,INDICES,EQ
NIFTY HOUSING,410889,NIFTY HOUSING,,1605,INDICES,EQ
NIFTY IPO,411145,NIFTY IPO,,1606,INDICES,EQ
NIFTY MS FIN SERV,411401,NIFTY MIDSMALL FINANCIAL SERVICES,,1607,INDICES,EQ
NIFTY MS IND CONS,411657,NIFTY MIDSMALL INDIA CONSUMPTION,,1608,INDICES,EQ
NIFTY MS IT TELCM,411913,NIFTY MIDSMALL IT & TELECOM,,1609,INDICES,EQ
NIFTY NONCYC CONS,412169,NIFTY NON-CYCLICAL CONSUMER,,1610,INDICES,EQ
NIFTY RURAL,412425,NIFTY RURAL,,1611,INDICES,EQ
NIFTY SHARIAH 25,412681,NIFTY SHARIAH 25,,1612,INDICES,EQ
NIFTY TRANS LOGIS,412937,NIFTY TRANSPORTATION & LOGISTICS,,1613,INDICES,EQ
NIFTY50 SHARIAH,413193,NIFTY50 SHARIAH,,1614,INDICES,EQ
NIFTY500 LMS EQL,413449,NIFTY500 LARGEMIDSMALL EQUAL CAP WEIGHTED,,1615,INDICES,EQ
NIFTY500 SHARIAH,413705,NIFTY500 SHARIAH,,1616,INDICES,EQ
NIFTY IND DEFENCE,413961,NIFTY INDIA DEFENCE,,1617,INDICES,EQ
NIFTY IND TOURISM,414217,NIFTY INDIA TOURISM,,1618,INDICES,EQ
NIFTY CAPITAL MKT,414473,NIFTY CAPITAL MARKETS,,1619,INDICES,EQ
Nifty BHARATBondIndex-Apr2025,416521,NSE INDEX NIFTY BHARATBONDINDEX-APR2025,,1627,INDICES,EQ
BHARATBOND-APR33,416777,NSE INDEX BHARATBOND-APR33,,1628,INDICES,EQ
BHARATBOND-APR32,417033,NSE INDEX BHARATBOND-APR32,,1629,INDICES,EQ
BHARATBOND-APR31,417289,NSE INDEX BHARATBOND-APR31,,1630,INDICES,EQ
BHARATBOND-APR30,417545,NSE INDEX BHARATBOND-APR30,,1631,INDICES,EQ
Nifty500 LowVol50,417801,NSE INDEX NIFTY500 LOWVOL50,,1632,INDICES,EQ
Nifty500 MQVLv50,418057,NSE INDEX NIFTY500 MQVLV50,,1633,INDICES,EQ
Nifty500 Qlty50,418313,NSE INDEX NIFTY500 QLTY50,,1634,INDICES,EQ
NIFTY50 USD,418569,NSE INDEX NIFTY50 USD,,1635,INDICES,EQ
GOLDSTAR-SM,257,GOLDSTAR POWER,,1,NSE,EQ
21STCENMGM,134891780,TWENTYFIRST CENTURY MANAGEMENT,526921,4,BSE,EQ
AARTIIND,134197252,AARTI INDUSTRIES,524208,7,BSE,EQ
ABB,128000516,ABB INDIA,500002,13,BSE,EQ
656KA30-SG,3585,SDL KA 6.56% 2030,,14,NSE,EQ
GATECHDVR,145921284,GACM TECHNOLOGIES  - DV,570005,17,BSE,EQ
66RJ30-SG,4609,SDL RJ 6.6% 2030,,18,NSE,EQ
STYRENIX,129592836,STYRENIX PERFORMANCE MATERIALS,506222,19,BSE,EQ
66GA30A-SG,5121,SDL GA 6.6% 2030,,20,NSE,EQ
664UP30-SG,5377,SDL UP 6.64% 2030,,21,NSE,EQ
ACC,128104964,ACC,500410,22,BSE,EQ
67JK30-SG,5889,SDL JK 6.7% 2030,,23,NSE,EQ
ADANIENT,131225348,ADANI ENTERPRISES,512599,25,BSE,EQ
67HR30-SG,6657,SDL HR 6.7% 2030,,26,NSE,EQ
667MH31-SG,7425,SDL MH 6.67% 2031,,29,NSE,EQ
679MP33-SG,8193,SDL MP 6.79% 2033,,32,NSE,EQ
ADOR,132362500,ADOR WELDING,517041,34,BSE,EQ
677KA34-SG,8961,SDL KA 6.77% 2034,,35,NSE,EQ
685AP36-SG,9729,SDL AP 6.85% 2036,,38,NSE,EQ
AEGISLOG,128000772,AEGIS LOGISTICS,500003,40,BSE,EQ
687AP38-SG,10497,SDL AP 6.87% 2038,,41,NSE,EQ
677WB40-SG,10753,SDL WB 6.77% 2040,,42,NSE,EQ
SANWARIA-BZ,11777,SANWARIA CONSUMER,,46,NSE,EQ
HAPPSTMNDS,139066116,HAPPIEST MINDS TECHNOLOGIES LI,543227,48,BSE,EQ
663GJ29-SG,16641,SDL GJ 6.63% 2029,,65,NSE,EQ
684TS40-SG,17409,SDL TS 6.84% 2040,,68,NSE,EQ
665KA30-SG,18433,SDL KA 6.65% 2030,,72,NSE,EQ
675KA33-SG,18945,SDL KA 6.75% 2033,,74,NSE,EQ
667UK30-SG,19457,SDL UK 6.67% 2030,,76,NSE,EQ
ALEMBICLTD,129596164,ALEMBIC,506235,79,BSE,EQ
BETA-SM,20737,BETA DRUGS,,81,NSE,EQ
67ML30-SG,21249,SDL ML 6.7% 2030,,83,NSE,EQ
67NL30-SG,22017,SDL NL 6.7% 2030,,86,NSE,EQ
667RJ30-SG,22273,SDL RJ 6.67% 2030,,87,NSE,EQ
67TR30-SG,22785,SDL TR 6.7% 2030,,89,NSE,EQ
668UP30-SG,23553,SDL UP 6.68% 2030,,92,NSE,EQ
676MP33-SG,24321,SDL MP 6.76% 2033,,95,NSE,EQ
ARE&M,128002052,AMARA RAJA ENERGY & MOBILITY L,500008,100,BSE,EQ
SHAREINDIA,138425604,SHARE INDIA SECURITIES ,540725,104,BSE,EQ
OMFURN-SM,29953,OMFURN INDIA,,117,NSE,EQ
ROUTE,139066372,ROUTE MOBILE ,543228,128,BSE,EQ
ANDHRSUGAR,151055876,ANDHRA SUGARS,590062,136,BSE,EQ
GODREJAGRO,138430212,GODREJ AGROVET ,540743,144,BSE,EQ
SGBSEP28VI-GB,38145,2.50%GOLDBONDS2028SR-VI,,149,NSE,EQ
APCOTEXIND,134065668,APCOTEX INDUSTRIES,523694,154,BSE,EQ
APOLLOHOSP,130270468,APOLLO HOSPITALS ENTERPRISE LT,508869,157,BSE,EQ
67MH28-SG,40449,SDL MH 6.7% 2028,,158,NSE,EQ
MILTON-SM,40705,MILTON INDUSTRIES,,159,NSE,EQ
674UP30-SG,41217,SDL UP 6.74% 2030,,161,NSE,EQ
APOLLOTYRE,128224516,APOLLO TYRES,500877,163,BSE,EQ
68AS30-SG,41985,SDL AS 6.8% 2030,,164,NSE,EQ
674GA30-SG,42241,SDL GA 6.74% 2030,,165,NSE,EQ
ANDHRAPAP,128596484,ANDHRA PAPER,502330,166,BSE,EQ
67GJ30-SG,42753,SDL GJ 6.7% 2030,,167,NSE,EQ
67KA30-SG,43521,SDL KA 6.7% 2030,,170,NSE,EQ
672RJ30-SG,43777,SDL RJ 6.72% 2030,,171,NSE,EQ
673SK30-SG,44289,SDL SK 6.73% 2030,,173,NSE,EQ
669TN30-SG,45825,SDL TN 6.69% 2030,,179,NSE,EQ
ARENTERP,134825476,RAJDARSHAN INDUSTRIES,526662,181,BSE,EQ
678KA32-SG,46593,SDL KA 6.78% 2032,,182,NSE,EQ
TCPLPACK,133965060,TCPL PACKAGING,523301,184,BSE,EQ
678MH32-SG,47361,SDL MH 6.78% 2032,,185,NSE,EQ
850NHAI29-N5,47617,,,186,NSE,EQ
875NHAI29-N6,49153,,,192,NSE,EQ
ARVIND,128025860,ARVIND,500101,193,BSE,EQ
MASFIN,138431748,MAS FINANCIAL SERVICES ,540749,199,BSE,EQ
UNIDT,133635588,UNITED DRILLING TOOLS,522014,201,BSE,EQ
ASHAPURMIN,134912260,ASHAPURA MINECHEM,527001,203,BSE,EQ
ASHIMASYN,131657220,ASHIMA,514286,206,BSE,EQ
ASHOKLEY,128122116,ASHOK LEYLAND,500477,212,BSE,EQ
IEX,138432004,INDIAN ENERGY EXCHANGE ,540750,220,BSE,EQ
AAKASH,60161,AAKASH EXPLORATION SER L,,235,NSE,EQ
ASIANPAINT,128209924,ASIAN PAINTS,500820,236,BSE,EQ
ADL,139067140,ARCHIDPLY DECOR ,543231,245,BSE,EQ
NIRAJ,136444420,NIRAJ CEMENT STRUCTURALS,532986,255,BSE,EQ
ATUL,128006916,ATUL,500027,263,BSE,EQ
CHEMCON,139067652,CHEMCON SPECIALITY CHEMICALS L,543233,270,BSE,EQ
AUROPHARMA,134349828,AUROBINDO PHARMA,524804,275,BSE,EQ
GICRE,138433284,GENERAL INSURANCE CORPORATION,540755,277,BSE,EQ
AUTOAXLES,129282564,AUTOMOTIVE AXLES,505010,278,BSE,EQ
69PY29-SG,74497,SDL PY 6.9% 2029,,291,NSE,EQ
69AS30A-SG,75265,SDL AS 6.9% 2030,,294,NSE,EQ
683GJ30-SG,76033,SDL GJ 6.83% 2030,,297,NSE,EQ
685KA30-SG,76801,SDL KA 6.85% 2030,,300,NSE,EQ
685RJ30-SG,77313,SDL RJ 6.85% 2030,,302,NSE,EQ
689GA30-SG,77569,SDL GA 6.89% 2030,,303,NSE,EQ
BAJAJHLDNG,128125444,BAJAJ HOLDINGS & INVESTMENT LT,500490,305,BSE,EQ
69ML30-SG,78337,SDL ML 6.9% 2030,,306,NSE,EQ
69UP30-SG,78593,SDL UP 6.9% 2030,,307,NSE,EQ
BAJAJHIND,128008196,BAJAJ HINDUSTHAN SUGAR,500032,308,BSE,EQ
69UK30A-SG,79105,SDL UK 6.9% 2030,,309,NSE,EQ
697KA31-SG,79617,SDL KA 6.97% 2031,,311,NSE,EQ
TIINDIA,138435076,TUBE INVESTMENTS OF INDIA,540762,312,BSE,EQ
71MH32-SG,80129,SDL MH 7.1% 2032,,313,NSE,EQ
696JK35-SG,80385,SDL JK 6.96% 2035,,314,NSE,EQ
704WB35-SG,80641,SDL WB 7.04% 2035,,315,NSE,EQ
705MZ35-SG,80897,SDL MZ 7.05% 2035,,316,NSE,EQ
BAJFINANCE,128008708,BAJAJ FINANCE,500034,317,BSE,EQ
70AP39-SG,81409,SDL AP 7.0% 2039,,318,NSE,EQ
695PN40-SG,81665,SDL PN 6.95% 2040,,319,NSE,EQ
705HR40-SG,82177,SDL HR 7.05% 2040,,321,NSE,EQ
694TS50-SG,82433,SDL TS 6.94% 2050,,322,NSE,EQ
ANGELONE,139068164,ANGEL ONE,543235,324,BSE,EQ
VALIANTORG-BE,85505,VALIANT ORGANICS,,334,NSE,EQ
BALKRISIND,128602884,BALKRISHNA INDUSTRIES,502355,335,BSE,EQ
BALMLAWRIE,133969668,BALMER LAWRIE & CO.LTD.,523319,338,BSE,EQ
BALRAMCHIN,128009732,BALRAMPUR CHINI MILLS,500038,341,BSE,EQ
CAMS,139067396,COMPUTER AGE MANAGEMENT SERVIC,543232,342,BSE,EQ
BANARBEADS,134873348,BANARAS BEADS,526849,347,BSE,EQ
BANARISUG,128010500,BANNARI AMMAN SUGARS,500041,350,BSE,EQ
SGBOCT25V-GB,90881,2.50% GOLDBONDS2025SR-V,,355,NSE,EQ
NAM-INDIA,138436356,NIPPON LIFE INDIA ASSET MANAGE,540767,357,BSE,EQ
ROML,136471812,RAJ OIL MILLS,533093,359,BSE,EQ
BASF,128010756,BASF INDIA,500042,368,BSE,EQ
BATAINDIA,128011012,BATA INDIA,500043,371,BSE,EQ
BBTC,128364804,BOMBAY BURMAH TRADING CORP.LTD,501425,380,BSE,EQ
SINTERCOM,97537,SINTERCOM INDIA,,381,NSE,EQ
BEL,128012548,BHARAT ELECTRONICS,500049,383,BSE,EQ
MAHLOG,138436612,MAHINDRA LOGISTICS ,540768,385,BSE,EQ
GLOBE,100609,GLOBE TEXTILES (I),,393,NSE,EQ
BEML,128012292,BEML,500048,395,BSE,EQ
SGBNOV25VI-GB,101889,2.50% GOLDBONDS2025SR-VI,,398,NSE,EQ
NIACL,138436868,THE NEW INDIA ASSURANCE COMPAN,540769,399,BSE,EQ
BERGEPAINT,130426884,BERGER PAINTS INDIA,509480,404,BSE,EQ
BEPL,128013316,BHANSALI ENGINEERING POLYMERS,500052,419,BSE,EQ
672TN27-SG,107521,SDL TN 6.72% 2027,,420,NSE,EQ
BHARATFORG,128126212,BHARAT FORGE,500493,422,BSE,EQ
KHADIM,138438404,KHADIM INDIA ,540775,425,BSE,EQ
681MH28-SG,109313,SDL MH 6.81% 2028,,427,NSE,EQ
693JH30-SG,109569,SDL JH 6.93% 2030,,428,NSE,EQ
692RJ30-SG,110081,SDL RJ 6.92% 2030,,430,NSE,EQ
691AS30-SG,110337,SDL AS 6.91% 2030,,431,NSE,EQ
IFGLEXPOR,138438148,IFGL REFRACTORIES ,540774,436,BSE,EQ
691NL30-SG,111873,SDL NL 6.91% 2030,,437,NSE,EQ
BHEL,128026372,BHARAT HEAVY ELECTRICALS,500103,438,BSE,EQ
691UP30A-SG,112385,SDL UP 6.91% 2030,,439,NSE,EQ
69GA30A-SG,112641,SDL GA 6.9% 2030,,440,NSE,EQ
5PAISA,138438660,5PAISA CAPITAL ,540776,445,BSE,EQ
69HP30-SG,114177,SDL HP 6.9% 2030,,446,NSE,EQ
687MH30-SG,114689,SDL MH 6.87% 2030,,448,NSE,EQ
686KA30-SG,114945,SDL KA 6.86% 2030,,449,NSE,EQ
684GJ30-SG,116225,SDL GJ 6.84% 2030,,454,NSE,EQ
715JK32-SG,116993,SDL JK 7.15% 2032,,457,NSE,EQ
SGBNOV25-GB,117249,2.50% GOLDBONDS2025SR-VII,,458,NSE,EQ
707MP32-SG,117761,SDL MP 7.07% 2032,,460,NSE,EQ
705MH32-SG,119297,SDL MH 7.05% 2032,,466,NSE,EQ
HDFCLIFE,138438916,HDFC LIFE INSURANCE COMPANY LI,540777,467,BSE,EQ
708KA34-SG,119809,SDL KA 7.08% 2034,,468,NSE,EQ
71AP37-SG,120065,SDL AP 7.1% 2037,,469,NSE,EQ
OSWALGREEN,138058244,OSWAL GREENTECH ,539290,471,BSE,EQ
709WB40-SG,120833,SDL WB 7.09% 2040,,472,NSE,EQ
3MINDIA,133989124,3M INDIA,523395,474,BSE,EQ
703AP40-SG,121601,SDL AP 7.03% 2040,,475,NSE,EQ
BIRLACABLE,128015364,BIRLA CABLE ,500060,477,BSE,EQ
BIRLACORPN,128085764,BIRLA CORPORATION,500335,480,BSE,EQ
AISL-SM,123393,ANI INTEGRATED SERV,,482,NSE,EQ
ICEMAKE,125185,ICE MAKE REFRIGERAT,,489,NSE,EQ
BLUEDART,134812676,BLUE DART EXPRESS,526612,495,BSE,EQ
SGBNOV258-GB,127233,2.50%GOLDBONDS2025SR-VIII,,497,NSE,EQ
903SFL28-YI,127489,,,498,NSE,EQ
PULZ-SM,129793,PULZ ELECTRONICS,,507,NSE,EQ
MAZDOCK,139068676,MAZAGON DOCK SHIPBUILDERS LIMI,543237,509,BSE,EQ
BOMDYEING,128005124,BOMBAY DYEING & MFG.CO.LTD.,500020,513,BSE,EQ
ICICIB22,138441476,ICICI PRUDENTIAL MUTUAL FUND,540787,522,BSE,EQ
BPCL,128140036,BHARAT PETROLEUM CORPORATION L,500547,526,BSE,EQ
UTIAMC,139068932,UTI ASSET MANAGEMENT COMPANY L,543238,527,BSE,EQ
BPL,128018948,BPL,500074,530,BSE,EQ
SGBNOV25IX-GB,138241,2.50%GOLDBONDS 2025SR-IX,,540,NSE,EQ
BRITANNIA,128211204,BRITANNIA INDUSTRIES,500825,547,BSE,EQ
BSL,131595524,BSL,514045,559,BSE,EQ
FELIX-SM,146689,FELIX INDUSTRIES,,573,NSE,EQ
LIKHITHA,139069444,LIKHITHA INFRASTRUCTURE LIMITE,543240,578,BSE,EQ
CANFINHOME,130866180,CAN FIN HOMES,511196,583,BSE,EQ
669PN30-SG,151041,SDL PN 6.69% 2030,,590,NSE,EQ
840IRFC29-N8,151297,,,591,NSE,EQ
GRAPHITE,130428932,GRAPHITE INDIA,509488,592,BSE,EQ
661KA30-SG,151809,SDL KA 6.61% 2030,,593,NSE,EQ
CARBORUNIV,131424004,CARBORUNDUM UNIVERSAL,513375,595,BSE,EQ
663MH30-SG,152577,SDL MH 6.63% 2030,,596,NSE,EQ
645MH27-SG,153345,SDL MH 6.45% 2027,,599,NSE,EQ
865IRFC29-NA,154369,,,603,NSE,EQ
655MH28-SG,154881,SDL MH 6.55% 2028,,605,NSE,EQ
665ML30-SG,155905,SDL ML 6.65% 2030,,609,NSE,EQ
66RJ30A-SG,156417,SDL RJ 6.6% 2030,,611,NSE,EQ
663UP30-SG,157185,SDL UP 6.63% 2030,,614,NSE,EQ
662UK30-SG,157953,SDL UK 6.62% 2030,,617,NSE,EQ
675KA33A-SG,158209,SDL KA 6.75% 2033,,618,NSE,EQ
CENTENKA,128071684,CENTURY ENKA,500280,619,BSE,EQ
699WB35-SG,158721,SDL WB 6.99% 2035,,620,NSE,EQ
SGBDEC25-GB,159489,2.50%GOLDBONDS 2025 SR-X,,623,NSE,EQ
ABREL,128010244,ADITYA BIRLA REAL ESTATE LIMIT,500040,625,BSE,EQ
691AP39-SG,160257,SDL AP 6.91% 2039,,626,NSE,EQ
CESC,128021508,CESC,500084,628,BSE,EQ
691MP40-SG,161025,SDL MP 6.91% 2040,,629,NSE,EQ
694TS50A-SG,161281,SDL TS 6.94% 2050,,630,NSE,EQ
IGARASHI,132449284,IGARASHI MOTORS INDIA,517380,634,BSE,EQ
CHAMBLFERT,128021764,CHAMBAL FERTILISERS & CHEMICAL,500085,637,BSE,EQ
DNAMEDIA,138441988,DILIGENT MEDIA CORPORATION LIM,540789,641,BSE,EQ
EXIDEIND,128022020,EXIDE INDUSTRIES,500086,676,BSE,EQ
CHOLAFIN,130878212,CHOLAMANDALAM INVESTMENT AND F,511243,685,BSE,EQ
CIPLA,128022276,CIPLA,500087,694,BSE,EQ
HEMIPROP,139069956,HEMISPHERE PROPERTIES INDIA LI,543242,701,BSE,EQ
DICIND,128022788,DIC INDIA,500089,703,BSE,EQ
SHRADHA,181249,SHRADHA INFRAPROJECTS,,708,NSE,EQ
SHALBY,138444036,SHALBY ,540797,714,BSE,EQ
HEUBACHIND,129635844,HEUBACH COLORANTS INDIA LIMITE,506390,715,BSE,EQ
SBIETFPB,184833,SBIAMC - SBIETFPB,,722,NSE,EQ
SGBDEC25XI-GB,186625,2.50%GOLDBONDS 2025 SR-XI,,729,NSE,EQ
COROMANDEL,129637124,COROMANDEL INTERNATIONAL,506395,739,BSE,EQ
SBIETFIT,189441,SBIAMC - SBIETFIT,,740,NSE,EQ
COSMOFIRST,130256388,COSMO FIRST ,508814,742,BSE,EQ
687AP35-SG,190977,SDL AP 6.87% 2035,,746,NSE,EQ
656AS30-SG,193025,SDL AS 6.56% 2030,,754,NSE,EQ
CRISIL,128023556,CRISIL,500092,757,BSE,EQ
651KA30-SG,194049,SDL KA 6.51% 2030,,758,NSE,EQ
CGPOWER,128023812,CG POWER AND INDUSTRIAL SOLUTI,500093,760,BSE,EQ
662JH30-SG,194817,SDL JH 6.62% 2030,,761,NSE,EQ
689MP40-SG,196353,SDL MP 6.89% 2040,,767,NSE,EQ
DABUR,128024580,DABUR INDIA,500096,772,BSE,EQ
